"cohort","cell_type","hr","hr_lower","hr_upper","p_value","fdr","model"
"tcga","DC",0.853586762876615,0.720049587930916,1.01188914481829,0.0681820262662351,0.119318545965911,"unadjusted"
"tcga","Exhausted_CD8",0.82705317905919,0.701222928260091,0.975462914039518,0.0241340963313513,0.0497233320242718,"unadjusted"
"tcga","Macrophages",1.01401826501425,0.862808185011873,1.19172842775983,0.865827152262266,0.865827152262266,"unadjusted"
"tcga","Mast_cells",0.950303456946916,0.805275875483857,1.12145003691143,0.546298252947605,0.588321195482036,"unadjusted"
"tcga","Neutrophils",0.9288422463619,0.784768344655088,1.09936636015282,0.39069192446132,0.455807245204873,"unadjusted"
"tcga","Mature_NK",0.812553259845378,0.677794892867997,0.974104123581725,0.0248616660121359,0.0497233320242718,"unadjusted"
"tcga","NK_cells",0.773970598312625,0.647522750978727,0.925111104045335,0.00487388521473212,0.0170585982515624,"unadjusted"
"tcga","Th1_cells",0.794841497475833,0.671400112696218,0.940978403433001,0.00766628657887808,0.0214656024208586,"unadjusted"
"tcga","Treg",0.864961708180445,0.732797307378076,1.02096275339127,0.0863922891347603,0.134388005320738,"unadjusted"
"tcga","CD8_T_cells",0.767347267463801,0.647265498549488,0.909706805327493,0.00228968393213898,0.0112579658241909,"unadjusted"
"tcga","CD4_T_cells",0.9180299679481,0.787965095313482,1.06956390208566,0.272553097316662,0.346885760221206,"unadjusted"
"metabric","B_cells",0.889142846467072,0.830017854308649,0.95247951272333,0.00081771623129542,0.0114480272381359,"PAM50-adjusted"
"metabric","CD45",0.972750268235731,0.912903782033345,1.03652006156123,0.393774447906191,0.459403522557223,"PAM50-adjusted"
"metabric","Cytotoxic_cells",0.902966775387907,0.844915737703633,0.965006285325498,0.00260710648132619,0.0182497453692834,"PAM50-adjusted"
"metabric","DC",0.977964690400298,0.916782169049497,1.04323029827396,0.499047762256517,0.537436051660865,"PAM50-adjusted"
"metabric","Exhausted_CD8",0.942053340844031,0.883264895599291,1.00475463410471,0.0694186088633894,0.138837217726779,"PAM50-adjusted"
"metabric","Macrophages",1.04466776643459,0.98234255986629,1.11094722636875,0.163820727898289,0.208499108234186,"PAM50-adjusted"
"metabric","Mast_cells",0.911183139088585,0.851734124752204,0.974781553105993,0.00689348984501221,0.0241272144575428,"PAM50-adjusted"
"metabric","Neutrophils",1.04579148379281,0.986664209592905,1.10846204508099,0.131596022355281,0.204704923663771,"PAM50-adjusted"
"metabric","Mature_NK",0.939498072106041,0.879876023012406,1.00316022303806,0.0620913823755206,0.138837217726779,"PAM50-adjusted"
"metabric","NK_cells",1.05564188076382,0.992279772527206,1.12304998174496,0.0864252547445213,0.151244195802912,"PAM50-adjusted"
"metabric","Th1_cells",1.04454435393508,0.98296817035003,1.10997786118458,0.159777167909862,0.208499108234186,"PAM50-adjusted"
"metabric","Treg",1.06571436584243,1.00346532509912,1.13182496809319,0.0382078813470874,0.106982067771845,"PAM50-adjusted"
"metabric","CD8_T_cells",0.91442085221963,0.858248521779152,0.974269659376402,0.00567752892446401,0.0241272144575428,"PAM50-adjusted"
"metabric","CD4_T_cells",1.00552244068135,0.948831736160423,1.06560029579664,0.85244162380763,0.85244162380763,"PAM50-adjusted"
"tcga","B_cells",0.730167249080442,0.60279541259288,0.884453000955032,0.00130276633603294,0.00492963010634782,"PAM50-adjusted"
"tcga","CD45",0.869823078557835,0.743187267160609,1.01803707009464,0.0823371690858293,0.115272036720161,"PAM50-adjusted"
"tcga","Cytotoxic_cells",0.731643918227236,0.615363714315933,0.86989663287828,0.000402690936248319,0.00492963010634782,"PAM50-adjusted"
"tcga","DC",0.837676026009863,0.701414095728454,1.00040921450677,0.050530311904005,0.0786027074062301,"PAM50-adjusted"
"tcga","Exhausted_CD8",0.802672912343731,0.676234443996115,0.952752126027565,0.0119573309281801,0.0239146618563603,"PAM50-adjusted"
"tcga","Macrophages",0.984239459257037,0.837088276330173,1.1572582492799,0.847530914870507,0.847530914870507,"PAM50-adjusted"
"tcga","Mast_cells",0.930045789485569,0.752801386356142,1.14902175556119,0.501412449893993,0.539982638347377,"PAM50-adjusted"
"tcga","Neutrophils",0.929176534820153,0.7834135492381,1.10206037883829,0.398821182826523,0.465291379964277,"PAM50-adjusted"
"tcga","Mature_NK",0.782038078390831,0.64771939766218,0.944210653966237,0.0105571642914525,0.0239146618563603,"PAM50-adjusted"
"tcga","NK_cells",0.736794699797137,0.611885105934994,0.887203209203178,0.00126990776574764,0.00492963010634782,"PAM50-adjusted"
"tcga","Th1_cells",0.765676939240074,0.643163432732233,0.911527530092222,0.00268883177398008,0.00752872896714423,"PAM50-adjusted"
"tcga","Treg",0.806685774875191,0.677919364902029,0.959910533725542,0.0154740984029699,0.0270796722051973,"PAM50-adjusted"
"tcga","CD8_T_cells",0.749930295902477,0.628496176287748,0.894827160340419,0.00140846574467081,0.00492963010634782,"PAM50-adjusted"
"tcga","CD4_T_cells",0.898904520537367,0.772683351259242,1.04574446404943,0.167412536165656,0.213070500574471,"PAM50-adjusted"
